feature_set,n_samples,n_features,MAE,RMSE,baseline_RMSE,R2,correlation
expression_cnv_mutation,59,74115,0.40347917603915245,0.48768263539783985,0.6316010339173213,0.4038041894822615,0.6481780005298456
expression_cnv,59,57795,0.4285720022431991,0.5215186970628309,0.6316010339173213,0.31820454548347976,0.5642907528478533
expression_only,59,19205,0.43703410559785993,0.5351362673264782,0.6316010339173213,0.28213446112131224,0.5368060157660063
mutation_only,59,16320,0.5320835137500589,0.6321772265295806,0.6316010339173213,-0.0018253783759181186,0.1648937352416686
cnv_only,59,38590,0.5718776394549855,0.6823933563590795,0.6316010339173213,-0.16730384329864378,0.16149637474840636
