fold,n_train,n_test,MAE,RMSE,R2
1,47,12,0.4139804897349891,0.49396187441542766,0.4032803787527687
2,47,12,0.39302847929448653,0.4687051035220831,0.528923724580566
3,47,12,0.37907697583139527,0.42872714128601136,0.31109272028884405
4,47,12,0.4896439428841383,0.6131417818222038,0.39796353043830046
5,48,11,0.33604661212453496,0.3989800011422285,0.12380777377659102
