target_gene,target_column,n_samples,y_mean,y_std,y_min,y_max,MAE,RMSE,baseline_RMSE,R2
SMAD4,SMAD4 (4089),59,-0.20977483793538185,0.2759354578969022,-1.157996744957753,0.4154150128019022,0.23045145227225433,0.2774465853110888,0.2735870283139194,-0.028413487754867184
TP53,TP53 (7157),59,0.2630433909212903,0.39082769295418435,-0.677214506818612,2.239804245763067,0.25437082541597605,0.42204700897528813,0.3875014393332182,-0.18624668999274663
KRAS,KRAS (3845),59,-1.426003968554196,0.8852447447650958,-3.3342966588035163,0.0254913805002831,0.8132936954692905,0.9781773855979613,0.8777106099256249,-0.24203129841288207
APC,APC (324),59,-0.39574520012636805,0.4355019684788991,-1.5268152202808485,0.3877447327128396,0.3851271906334661,0.5062380562177965,0.43179550134336625,-0.3745272470620793
BRAF,BRAF (673),59,-0.3555091392053482,0.38884463984580836,-1.577997034762439,0.158818114770898,0.38326466238096674,0.46509300892352334,0.38553526357949547,-0.4552962411797321
FBXW7,FBXW7 (55294),59,-0.07013048337772015,0.25818682049046116,-0.7999254052546951,0.3414005250061723,0.24808079806593208,0.315435885190049,0.2559894458877285,-0.5183716175771274
PIK3CA,PIK3CA (5290),59,-0.5968330291685551,0.40460156753105153,-2.089855242872175,0.2609418876318116,0.43370323807978955,0.7456421478747891,0.4011580873137822,-2.4548547524065025
