feature,n_folds,mean_abs_coef,mean_coef
expr_PTPMT1 (114971),1,0.003980216427481304,-0.003980216427481304
expr_COPS7B (64708),1,0.0036367128130886327,-0.0036367128130886327
mut_ARHGEF10L,1,0.0031884872746622992,-0.0031884872746622992
expr_CYS1 (192668),1,0.002866318713592689,-0.002866318713592689
expr_LRRTM2 (26045),1,0.0026530051031033717,-0.0026530051031033717
mut_ZBED1,1,0.002472865956174391,-0.002472865956174391
cnv_OR7E99P (81419),1,0.0021687552875512698,-0.0021687552875512698
expr_HYOU1 (10525),1,0.0021586189665753486,-0.0021586189665753486
cnv_ALG1L7P (728263),1,0.0021342537978260648,-0.0021342537978260648
cnv_STX18-IT1 (104472519),1,0.0021242959559448367,-0.0021242959559448367
mut_RECQL4,1,0.0020587872096821604,-0.0020587872096821604
cnv_STX18 (53407),1,0.0020185542346441644,-0.0020185542346441644
cnv_STK32B (55351),1,0.0020118347349212984,-0.0020118347349212984
mut_METRNL,1,0.0020021514716786755,-0.0020021514716786755
cnv_TMEM128 (85013),1,0.001847030870935567,-0.001847030870935567
expr_CHCHD7 (79145),1,0.0018284466241476403,0.0018284466241476403
mut_WNT16,1,0.0016527785546572285,-0.0016527785546572285
cnv_UNC93B4 (643384),1,0.001646952164602505,-0.001646952164602505
cnv_LINC02171 (100133461),1,0.0015486387638971985,-0.0015486387638971985
cnv_RPS3AP16 (727951),1,0.0014284376108072764,-0.0014284376108072764
cnv_LINC01396 (103695434),1,0.0012885254253082214,-0.0012885254253082214
cnv_RPS7P15 (728015),1,0.0012078278572159808,-0.0012078278572159808
expr_ARV1 (64801),1,0.001166610009396035,0.001166610009396035
cnv_LRPAP1 (4043),1,0.0010417584744965632,-0.0010417584744965632
cnv_LINC02600 (107986251),1,0.0010012260805766825,-0.0010012260805766825
mut_RAPH1,1,0.0009403764331198571,0.0009403764331198571
expr_TAGLN2 (8407),1,0.0008736830602671041,0.0008736830602671041
expr_MTMR2 (8898),1,0.0008637444307344359,-0.0008637444307344359
cnv_OR7E43P (26475),1,0.0008358065146080703,-0.0008358065146080703
cnv_OR7E103P (282754),1,0.0008245884726537116,-0.0008245884726537116
expr_H2BC21 (8349),1,0.0007277225987458978,0.0007277225987458978
expr_CBARP (255057),1,0.0007258070918474996,-0.0007258070918474996
cnv_VPS51P13 (127379746),1,0.0006933037066544868,-0.0006933037066544868
cnv_LINC00955 (285492),1,0.0006910022190927322,-0.0006910022190927322
cnv_NSG1 (27065),1,0.0006211551947185017,-0.0006211551947185017
cnv_RN7SKP275 (106480917),1,0.0006186687437850647,-0.0006186687437850647
expr_RXFP1 (59350),1,0.00047636396045689456,0.00047636396045689456
cnv_CRMP1 (1400),1,0.00036916358986076916,-0.00036916358986076916
expr_PAH (5053),1,1.4986000135654368e-05,1.4986000135654368e-05
