alpha,FAM50A_predicted_vulnerability_group,n,median_relative_fitness,mean_relative_fitness,q25_relative_fitness,q75_relative_fitness,median_vulnerability
0.0,high_predicted_vulnerability,151,1.0,1.0,1.0,1.0,0.9555749807436164
0.0,intermediate,313,1.0,1.0,1.0,1.0,0.4790629986689246
0.0,low_predicted_vulnerability,160,1.0,1.0,1.0,1.0,0.0
0.05,high_predicted_vulnerability,151,0.9533446921762089,0.9520507352156151,0.9473618441185517,0.9571870498678838,0.9555749807436164
0.05,intermediate,313,0.9763314498798424,0.9783642400634466,0.9672652668132061,0.9905795081288713,0.4790629986689246
0.05,low_predicted_vulnerability,160,1.0,0.9999137667890917,1.0,1.0,0.0
0.1,high_predicted_vulnerability,151,0.9088661021005504,0.9064346642776803,0.897494463769909,0.916207049377142,0.9555749807436164
0.1,intermediate,313,0.9532231000244754,0.9573518769379813,0.9356020963832228,0.9812477619248366,0.4790629986689246
0.1,low_predicted_vulnerability,160,1.0,0.9998277737137116,1.0,1.0,0.0
0.15000000000000002,high_predicted_vulnerability,151,0.8664626743364401,0.8630365317934352,0.8502520104314304,0.8769815244654933,0.9555749807436164
0.15000000000000002,intermediate,313,0.9306616913058541,0.9369428800649029,0.904975411389113,0.9720039253600604,0.4790629986689246
0.15000000000000002,low_predicted_vulnerability,160,1.0,0.9997420196465162,1.0,1.0,0.0
0.2,high_predicted_vulnerability,151,0.8260375915474482,0.8217468627307288,0.8054963127783943,0.8394353607819535,0.9555749807436164
0.2,intermediate,313,0.908634278420271,0.9171178966424828,0.8753512827566814,0.9628471702825008,0.4790629986689246
0.2,low_predicted_vulnerability,160,1.0,0.9996565034662478,1.0,1.0,0.0
0.25,high_predicted_vulnerability,151,0.7874985534397789,0.7824616681391791,0.7630964725704124,0.8034966598473874,0.9555749807436164
0.25,intermediate,313,0.8871282224605876,0.8978582279806832,0.8466968920709237,0.9537766763417153,0.4790629986689246
0.25,low_predicted_vulnerability,160,1.0,0.9995712240576997,1.0,1.0,0.0
0.30000000000000004,high_predicted_vulnerability,151,0.7507575660182557,0.7450821660731014,0.7229284818096409,0.7690966013732677,0.9555749807436164
0.30000000000000004,intermediate,313,0.8661311836642729,0.8791458066983071,0.8189804952188944,0.944791630915366,0.4790629986689246
0.30000000000000004,low_predicted_vulnerability,160,1.0,0.9994861803116842,1.0,1.0,0.0
0.35000000000000003,high_predicted_vulnerability,151,0.7157307406746338,0.7095145169198855,0.6848748600510783,0.736169311474989,0.9555749807436164
0.35000000000000003,intermediate,313,0.8456311143330837,0.8609631747320958,0.7921713872227155,0.9358912290364173,0.4790629986689246
0.35000000000000003,low_predicted_vulnerability,160,1.0,0.9994013711249978,1.0,1.0,0.0
0.4,high_predicted_vulnerability,151,0.6823381026495088,0.6756695723797612,0.6488243108041858,0.7046517365273731,0.9555749807436164
0.4,intermediate,313,0.8256162519203265,0.8432934621283924,0.7662398682237676,0.9270746733210191,0.4790629986689246
0.4,low_predicted_vulnerability,160,1.0,0.9993167954003891,1.0,1.0,0.0
0.45,high_predicted_vulnerability,151,0.6505034084304944,0.6434626373828916,0.6146713960208923,0.6744835224208052,0.9555749807436164
0.45,intermediate,313,0.8060751122817337,0.8261203665890824,0.7411572105803784,0.9183411738970692,0.4790629986689246
0.45,low_predicted_vulnerability,160,1.0,0.9992324520465246,1.0,1.0,0.0
0.5,high_predicted_vulnerability,151,0.6201539716697443,0.6128132442675814,0.5823162277179545,0.6456068989867849,0.9555749807436164
0.5,intermediate,313,0.7869964830860818,0.8094281337445437,0.7168956270425614,0.9096899483334491,0.4790629986689246
0.5,low_predicted_vulnerability,160,1.0,0.9991483399779574,1.0,1.0,0.0
0.55,high_predicted_vulnerability,151,0.5912204972233457,0.5836449385792081,0.5516641758317495,0.6179665693715714,0.9555749807436164
0.55,intermediate,313,0.7683694173817712,0.7932015381273464,0.6934282399685437,0.9011202215699263,0.4790629986689246
0.55,low_predicted_vulnerability,160,1.0,0.9990644581150934,1.0,1.0,0.0
0.6000000000000001,high_predicted_vulnerability,151,0.5636369229336556,0.5558850758833708,0.5226255914510538,0.591509604146081,0.9555749807436164
0.6000000000000001,intermediate,313,0.7501832273156744,0.7774258648213993,0.6707290515489854,0.8926312258477171,0.4790629986689246
0.6000000000000001,low_predicted_vulnerability,160,1.0,0.9989808053841595,1.0,1.0,0.0
0.65,high_predicted_vulnerability,151,0.5373402687933315,0.5294646290188474,0.4951155446183403,0.5661853399492651,0.9555749807436164
0.65,intermediate,313,0.732427478000652,0.7620868917621643,0.6487729150058981,0.8842222006407031,0.4790629986689246
0.65,low_predicted_vulnerability,160,1.0,0.9988973807171707,1.0,1.0,0.0
0.7000000000000001,high_predicted_vulnerability,151,0.51227049314666,0.5043180052462953,0.46905357593273356,0.5419452824708708,0.9555749807436164
0.7000000000000001,intermediate,313,0.715091981528213,0.7471708726644561,0.6275355067343614,0.8758923925872958,0.4790629986689246
